"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-23 ~ 2025-07-22"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","전라남도 장성군 서삼면 송현리","*","단독","8m미만","122.93","295.00","202507","21","18,000","개인","개인","2015","상평길","-","중개거래","전남 장성군"
"2","전라남도 장흥군 대덕읍 옹암리","1**","단독","8m미만","67.11","572.00","202507","21","2,500","개인","개인","1936","옹암2길","-","중개거래","전남 장흥군"
"3","충청남도 아산시 송악면 동화리","1***","단독","8m미만","99.05","1225.50","202507","21","32,500","개인","개인","2019","송악로380번길","-","중개거래","충남 천안시 동남구"
"4","경상북도 영주시 문정동","6**","단독","8m미만","108.27","323.00","202507","21","9,500","개인","개인","1980","가흥로1번길","-","중개거래","경북 영주시"
"5","전북특별자치도 익산시 남중동","2*","단독","8m미만","66.12","185.00","202507","21","4,500","개인","개인","1975","동서로20길","-","중개거래","전북 익산시"
"6","경기도 포천시 이동면 노곡리","2**","단독","8m미만","52.20","343.00","202507","21","5,000","개인","개인","1956","성장로1031번길","-","중개거래","서울 노원구"
"7","전라남도 해남군 황산면 일신리","3**","단독","8m미만","52.00","314.00","202507","21","2,000","개인","개인","1900","일신길","-","직거래","-"
"8","충청북도 제천시 봉양읍 주포리","4*","단독","8m미만","60.32","165.00","202507","21","7,400","개인","개인","1979","제원로","-","중개거래","충북 제천시"
"9","전라남도 완도군 보길면 중통리","5**","단독","8m미만","42.00","476.00","202507","21","550","개인","개인","1978","중리2길","-","직거래","-"
"10","경기도 양평군 개군면 하자포리","*","단독","8m미만","98.28","514.00","202507","21","46,000","개인","개인","2022","방죽길","-","직거래","-"
"11","경상북도 청송군 현동면 개일리","2**","단독","8m미만","70.30","202.00","202507","21","800","개인","개인","1970","개일1길","-","직거래","-"
"12","대구광역시 동구 효목동","2**","단독","8m미만","134.32","134.70","202507","21","38,000","개인","개인","1987","효신로16길","-","중개거래","대구 동구"
"13","경상북도 포항시 남구 대도동","1**","단독","12m미만","358.20","208.50","202507","21","62,300","개인","개인","2018","포스코대로353번길","-","직거래","-"
"14","강원특별자치도 홍천군 홍천읍 삼마치리","1**","단독","8m미만","96.83","379.00","202507","21","21,700","개인","개인","2018","삼마치길","-","중개거래","강원 홍천군"
"15","충청남도 홍성군 광천읍 내죽리","3**","단독","8m미만","62.61","440.00","202507","21","1,000","개인","개인","2011","홍남동로126번길","-","직거래","-"
"16","경상북도 문경시 신기동","8*","단독","12m미만","66.11","56.00","202507","21","1,800","개인","개인","1955","신기3길","-","직거래","-"
"17","전라남도 강진군 강진읍 평동리","6*","단독","8m미만","84.20","731.00","202507","21","23,250","개인","개인","2017","금릉2길","-","직거래","-"
"18","경상남도 창녕군 창녕읍 직교리","6**","단독","8m미만","46.27","301.00","202507","21","3,000","개인","개인","1951","직신2길","-","직거래","-"
"19","대전광역시 동구 자양동","1**","다가구","8m미만","510.01","340.80","202507","21","75,000","개인","개인","2012","이화로","-","중개거래","대전 유성구"
"20","경상남도 함양군 수동면 원평리","3**","단독","8m미만","59.51","195.00","202507","21","1,500","개인","개인","1939","거함대로","-","중개거래","경남 창녕군"
"21","경상남도 통영시 한산면 용호리","9**","단독","8m미만","47.27","252.00","202507","21","1,200","개인","개인","1957","용초1길","-","직거래","-"
"22","충청남도 공주시 금성동","9*","단독","8m미만","75.48","278.00","202507","21","6,300","개인","개인","1985","정자방1길","-","중개거래","세종"
"23","충청북도 제천시 백운면 덕동리","3**","단독","8m미만","90.42","496.00","202507","20","19,000","개인","개인","2016","덕동로2길","-","중개거래","충북 제천시"
