"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-23 ~ 2025-07-22"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 군포시 금정동","715-12","0715","0012","신라궁전4동","36.0300","25.9250","202507","21","21,000","3","개인","개인","1988","번영로561번안길 14","-","직거래","-","-"
"2","충청북도 단양군 영춘면 사지원리","287-1","0287","0001","팬션강촌","62.1000","58.1750","202507","21","2,200","2","개인","개인","1999","강변로 75-5","-","직거래","-","-"
"3","서울특별시 강서구 화곡동","51-4","0051","0004","이도팰리스(51-4)","27.8100","17.5600","202507","21","26,100","5","개인","개인","2020","초록마을로7길 10","-","직거래","-","-"
"4","충청남도 천안시 서북구 성정동","669-7","0669","0007","미성그린빌라","37.0800","26.3800","202507","21","5,400","4","개인","개인","1995","서부13길 36","-","중개거래","충남 천안시 서북구","-"
"5","대전광역시 서구 도마동","51-9","0051","0009","남양주택(51-9)","47.6000","46.0300","202507","21","13,000","-1","개인","개인","1987","도학4길 64","-","중개거래","대전 서구","-"
"6","인천광역시 계양구 계산동","973-1","0973","0001","성도빌라","37.0800","23.5400","202507","21","6,500","3","개인","개인","1993","향교로 32","-","직거래","-","-"
"7","인천광역시 미추홀구 주안동","1337-11","1337","0011","가든빌라(3동)","39.0900","12.2000","202507","21","9,900","3","개인","법인","1997","신기길58번길 12","-","직거래","-","-"
"8","서울특별시 양천구 신월동","466-8","0466","0008","행담가","44.7400","32.7700","202507","21","28,000","2","개인","개인","2022","오목로15길 31-1","-","중개거래","서울 강서구","-"
"9","경기도 이천시 갈산동","154-3","0154","0003","GS빌(C동)","74.2200","121.9000","202507","21","18,400","3","개인","개인","2017","갈산로 137-24","-","중개거래","경기 이천시","-"
"10","경기도 여주시 대신면 율촌리","269-12","0269","0012","대신빌라(가동)","53.5800","55.0500","202507","21","5,000","3","개인","개인","1993","율촌1길 81","-","중개거래","경기 여주시","-"
