"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-23 ~ 2025-07-22"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 용산구 동자동","45","0045","0000","센트레빌아스테리움서울","78.2100","202507","21","95,000","8","개인","개인","2013","한강대로 372","-","중개거래","서울 용산구"
"2","인천광역시 미추홀구 용현동","665-8","0665","0008","인하대역 헤리움 메트로 타워","21.6777","202507","21","9,900","20","개인","개인","2020","용정공원로83번길 49","-","중개거래","인천 미추홀구"
"3","전라남도 무안군 삼향읍 남악리","2624","2624","0000","남악센트레빌리버파크","84.7262","202507","21","20,000","9","개인","법인","2019","남악로250번길 60","-","직거래","-"
"4","경기도 하남시 망월동","1132","1132","0000","퀸즈파크 미사1차","19.2506","202507","21","12,000","14","개인","개인","2019","미사강변동로84번길 20","-","중개거래","경기 하남시"
"5","인천광역시 부평구 부평동","439-12","0439","0012","부평 대우마이빌","32.5700","202507","21","8,000","11","개인","개인","2004","부평대로 102","-","중개거래","인천 부평구"
"6","경기도 이천시 부발읍 아미리","670-5","0670","0005","이천아미리슈빌S","23.6128","202507","21","9,000","9","개인","개인","2018","경충대로2092번길 31","-","직거래","-"
"7","서울특별시 송파구 방이동","46-2","0046","0002","사보이시티잠실","23.3016","202507","21","27,000","8","개인","개인","2021","오금로11길 45","-","중개거래","서울 송파구"
"8","서울특별시 광진구 자양동","767-4","0767","0004","자양오피스텔","30.2400","202507","21","8,000","7","개인","개인","1999","자양로 135","-","직거래","-"
"9","충청남도 천안시 서북구 차암동","435","0435","0000","천안비즈타워","15.7600","202507","21","4,100","6","개인","개인","2015","3공단6로 58-8","-","직거래","-"
"10","서울특별시 성동구 성수동1가","33-23","0033","0023","위더스 빌","43.4100","202507","21","26,500","5","개인","개인","2015","뚝섬로3나길 18","-","직거래","-"
"11","경기도 안산시 단원구 고잔동","526","0526","0000","리베르 오피스텔","20.7700","202507","21","7,000","8","개인","개인","2017","원고잔로 6","-","중개거래","경기 안산시 단원구"
"12","울산광역시 남구 삼산동","1624-1","1624","0001","코아루 벨라채","50.1200","202507","21","15,800","19","개인","개인","2017","삼산로 358","-","중개거래","울산 남구"
"13","서울특별시 노원구 공릉동","383-12","0383","0012","건양오피스텔","16.0200","202507","21","9,500","2","개인","개인","2012","동일로191가길 6","-","중개거래","서울 노원구, 서울 성북구"
"14","광주광역시 서구 치평동","1238-1","1238","0001","광주대우디오빌","28.2300","202507","21","6,000","5","개인","개인","2006","시청로 41","-","중개거래","광주 광산구"
"15","부산광역시 해운대구 우동","1435-1","1435","0001","우신골든스위트","227.4273","202507","21","191,000","28","개인","개인","2005","마린시티1로 147","-","중개거래","부산 해운대구"
"16","부산광역시 부산진구 범천동","858-32","0858","0032","범천빌오피스텔","30.4500","202507","21","7,600","5","법인","개인","2003","황령대로17번길 21-9","-","중개거래","부산 연제구"
"17","경기도 광명시 철산동","473-14","0473","0014","철산동 오피스텔","25.2000","202507","21","9,000","14","개인","개인","2003","오리로 887","-","중개거래","경기 광명시"
"18","경기도 의왕시 내손동","757-2","0757","0002","미원파크빌(101동)","18.6400","202507","21","6,700","8","개인","개인","2002","계원대학로 36","-","중개거래","경기 의왕시"
"19","서울특별시 서대문구 충정로2가","192","0192","0000","서대문 디오빌 오피스텔","25.3500","202507","21","20,000","13","개인","개인","2009","충정로 59","-","중개거래","서울 서대문구"
"20","경기도 고양시 덕양구 도내동","951","0951","0000","힐사이드파크1차","24.9500","202507","21","13,000","12","개인","개인","2021","권율대로 508","-","직거래","-"
"21","서울특별시 광진구 화양동","111-12","0111","0012","빌리브 인테라스","16.8752","202507","21","25,300","16","개인","개인","2021","능동로 172","-","중개거래","서울 광진구"
"22","경상남도 창원시 마산합포구 자산동","302-38","0302","0038","형제샘터마을","29.8800","202507","21","4,200","7","개인","법인","2003","자산삼거리로 2-1","-","직거래","-"
"23","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","95.5200","202507","21","85,000","7","개인","개인","2005","성남대로 393","-","중개거래","경기 성남시 분당구"
"24","경기도 하남시 신장동","427-159","0427","0159","ICT 하남","22.7410","202507","21","11,700","9","법인","개인","2021","신장로 114","-","중개거래","경기 하남시"
"25","경상남도 창원시 의창구 사림동","162-3","0162","0003","센트럴 애비뉴","24.5968","202507","20","10,000","3","개인","개인","2019","용동로57번길 20","-","중개거래","경남 창원시 의창구"
"26","경기도 수원시 팔달구 인계동","1036-6","1036","0006","인계 오피앙 오피스텔","19.1400","202507","20","5,300","8","개인","개인","2004","인계로 132","-","중개거래","경기 수원시 팔달구"
"27","울산광역시 남구 신정동","1903","1903","0000","울산 신정동 양우내안애팰리스","44.6870","202507","20","14,000","3","개인","개인","2016"," ","-","중개거래","울산 남구"
"28","경상북도 경산시 하양읍 금락리","161-32","0161","0032","휴가오피스텔","24.6280","202507","20","8,500","5","개인","개인","2017"," ","-","중개거래","경북 경산시"
"29","부산광역시 부산진구 범천동","1106-3","1106","0003","(1106-3)","84.6900","202507","20","15,000","10","개인","개인","2015","신암로 151-1","-","중개거래","부산 부산진구"
"30","대전광역시 유성구 관평동","1342","1342","0000","DTVan 오피스텔","49.5300","202507","19","10,400","9","개인","개인","2011","테크노1로 12-22","-","중개거래","대전 유성구"
"31","부산광역시 해운대구 좌동","1476-6","1476","0006","천년사랑오피스텔","27.5500","202507","19","4,300","17","개인","개인","2005","양운로 41","-","중개거래","부산 해운대구"
"32","서울특별시 금천구 가산동","776","0776","0000","가산대명벨리온","16.6100","202507","19","11,000","6","개인","개인","2017","가산디지털2로 127-33","-","중개거래","서울 금천구"
"33","서울특별시 강서구 마곡동","776-2","0776","0002","마곡센트럴대방디엠시티오피스텔","24.0212","202507","19","17,900","11","개인","개인","2017","양천로 344","-","중개거래","서울 강서구"
"34","대전광역시 중구 은행동","114-20","0114","0020","(주)한밭오피스텔","27.4500","202507","19","28,700","5","개인","법인","2000","목척7길 12","-","중개거래","대전 중구"
"35","경상남도 창원시 마산합포구 동성동","315","0315","0000","호텔엠에스","32.7000","202507","19","2,700","10","개인","개인","2006","해안대로 367","-","중개거래","경남 창원시 마산합포구"
"36","경기도 화성시 반송동","93-10","0093","0010","동탄 지웰 에스테이트","36.3360","202507","19","14,900","12","개인","개인","2011","동탄반석로 160","-","중개거래","경기 화성시"
"37","서울특별시 송파구 문정동","620","0620","0000","송파푸르지오시티","30.0000","202507","19","22,800","15","개인","개인","2013","새말로 62","-","중개거래","서울 송파구"
"38","경기도 고양시 일산동구 중산동","1808","1808","0000","일산에스플러스타워","22.6128","202507","19","9,900","10","개인","개인","2018","하늘마을1로 16-10","-","중개거래","경기 고양시 일산동구"
"39","대구광역시 북구 칠성동2가","296-2","0296","0002","칠성동2가 296-2 업무시설 (주식회사하나자산신탁)","26.2768","202507","19","9,000","10","개인","개인","2020","중앙대로 513","20250721","중개거래","대구 북구"
"40","인천광역시 부평구 부평동","451-65","0451","0065","센트럴뷰","70.0100","202507","19","22,300","11","개인","개인","2016","원적로488번길 14","-","중개거래","경기 부천시 원미구, 인천 부평구"
"41","인천광역시 남동구 구월동","1608","1608","0000","신영구월지웰시티푸르지오","29.7603","202507","19","17,300","18","개인","개인","2020"," ","-","중개거래","인천 남동구"
"42","서울특별시 송파구 방이동","43","0043","0000","대명벨리온","17.3200","202507","19","17,500","13","개인","개인","2017"," ","-","중개거래","서울 송파구"
"43","경기도 수원시 영통구 원천동","605","0605","0000","더샵 광교레이크시티","21.9018","202507","19","18,700","27","개인","개인","2022","광교호수공원로 20","-","중개거래","경기 수원시 영통구"
"44","울산광역시 남구 무거동","1527-4","1527","0004","울산대 이즈플레이스","54.7200","202507","19","20,500","11","개인","개인","2018","신복로6번길 17","-","중개거래","울산 남구"
"45","세종특별자치시  어진동","656","0656","0000","푸르지오시티","39.1310","202507","18","16,000","20","개인","개인","2014","갈매로 364","-","중개거래","세종"
"46","광주광역시 서구 농성동","417-18","0417","0018","골든힐스타워","24.3800","202507","18","4,800","6","개인","개인","2015","죽봉대로78번길 10","-","직거래","-"
